127.0.0.1 - - [01/Apr/2017:08:47:31 +0800] "GET /struts_m2m_six/js/img/body2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:48:08 +0800] "GET /struts_m2m_six/Bean_list HTTP/1.1" 200 1576
127.0.0.1 - - [01/Apr/2017:08:48:08 +0800] "GET /struts_m2m_six/js/jquery-1.8.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:48:08 +0800] "GET /struts_m2m_six/js/index1.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:48:08 +0800] "GET /struts_m2m_six/js/img/body2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:48:21 +0800] "GET /struts_m2m_six/Bean_list HTTP/1.1" 200 1576
127.0.0.1 - - [01/Apr/2017:08:48:21 +0800] "GET /struts_m2m_six/js/jquery-1.8.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:48:21 +0800] "GET /struts_m2m_six/js/index1.css HTTP/1.1" 200 4686
127.0.0.1 - - [01/Apr/2017:08:48:21 +0800] "GET /struts_m2m_six/js/img/body2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:48:29 +0800] "GET /struts_m2m_six/Bean_list HTTP/1.1" 200 1576
127.0.0.1 - - [01/Apr/2017:08:48:29 +0800] "GET /struts_m2m_six/js/jquery-1.8.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:48:29 +0800] "GET /struts_m2m_six/js/index1.css HTTP/1.1" 200 4686
127.0.0.1 - - [01/Apr/2017:08:48:29 +0800] "GET /struts_m2m_six/js/img/body2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:09:11:30 +0800] "GET /struts_m2m_six/Bean_userList HTTP/1.1" 200 2206
127.0.0.1 - - [01/Apr/2017:09:11:36 +0800] "GET /struts_m2m_six/Bean_toupdasteuser?bean.uid=2 HTTP/1.1" 200 3342
127.0.0.1 - - [01/Apr/2017:09:13:08 +0800] "GET /struts_m2m_six/Bean_userList HTTP/1.1" 500 14162
127.0.0.1 - - [01/Apr/2017:09:13:50 +0800] "GET /struts_m2m_six/Bean_userList HTTP/1.1" 200 2341
127.0.0.1 - - [01/Apr/2017:09:13:50 +0800] "GET /struts_m2m_six/js/jquery-1.8.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:09:13:50 +0800] "GET /struts_m2m_six/js/index3.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:09:13:50 +0800] "GET /struts_m2m_six/js/img/body3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:09:13:59 +0800] "GET /struts_m2m_six/Bean_toDeleteUser?bean.uid=6 HTTP/1.1" 302 -
127.0.0.1 - - [01/Apr/2017:09:13:59 +0800] "GET /struts_m2m_six/Bean_userlist.action HTTP/1.1" 500 7333
127.0.0.1 - - [01/Apr/2017:09:14:02 +0800] "GET /struts_m2m_six/Bean_userList HTTP/1.1" 200 1895
127.0.0.1 - - [01/Apr/2017:09:14:02 +0800] "GET /struts_m2m_six/js/index3.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:09:14:02 +0800] "GET /struts_m2m_six/js/jquery-1.8.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:09:14:02 +0800] "GET /struts_m2m_six/js/img/body3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:09:15:02 +0800] "GET /struts_m2m_six/Bean_toadduser HTTP/1.1" 200 2445
127.0.0.1 - - [01/Apr/2017:09:15:09 +0800] "GET /struts_m2m_six/Bean_toadduser HTTP/1.1" 200 2445
